Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,Apr 23 - May 5,05/05/2020,34.8
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,Apr 23 - May 5,05/05/2020,37.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,Apr 23 - May 5,05/05/2020,40.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,Apr 23 - May 5,05/05/2020,40.7
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,Apr 23 - May 5,05/05/2020,42.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,Apr 23 - May 5,05/05/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,Apr 23 - May 5,05/05/2020,31.1
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,Apr 23 - May 5,05/05/2020,37.6
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,Apr 23 - May 5,05/05/2020,42.6
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,Apr 23 - May 5,05/05/2020,36.5
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,Apr 23 - May 5,05/05/2020,41.3
"Delayed Medical Care, Last 4 Weeks",By State,California,California,Apr 23 - May 5,05/05/2020,39.5
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,Apr 23 - May 5,05/05/2020,42.2
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,Apr 23 - May 5,05/05/2020,36.2
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,Apr 23 - May 5,05/05/2020,35.7
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,Apr 23 - May 5,05/05/2020,42.7
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,Apr 23 - May 5,05/05/2020,41.3
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,Apr 23 - May 5,05/05/2020,40.2
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,Apr 23 - May 5,05/05/2020,34.7
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,Apr 23 - May 5,05/05/2020,33.4
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,Apr 23 - May 5,05/05/2020,37.2
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,Apr 23 - May 5,05/05/2020,34.2
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,Apr 23 - May 5,05/05/2020,35.1
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,Apr 23 - May 5,05/05/2020,35.3
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,Apr 23 - May 5,05/05/2020,38.5
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,Apr 23 - May 5,05/05/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,Apr 23 - May 5,05/05/2020,41.1
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,Apr 23 - May 5,05/05/2020,44.9
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,Apr 23 - May 5,05/05/2020,38.7
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,Apr 23 - May 5,05/05/2020,39.6
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,Apr 23 - May 5,05/05/2020,41.6
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,Apr 23 - May 5,05/05/2020,33
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,Apr 23 - May 5,05/05/2020,38.5
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,Apr 23 - May 5,05/05/2020,40.2
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,Apr 23 - May 5,05/05/2020,35.9
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,Apr 23 - May 5,05/05/2020,41.5
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,Apr 23 - May 5,05/05/2020,37.8
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,Apr 23 - May 5,05/05/2020,37.9
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,Apr 23 - May 5,05/05/2020,40.2
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,Apr 23 - May 5,05/05/2020,40.6
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,Apr 23 - May 5,05/05/2020,34.6
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,Apr 23 - May 5,05/05/2020,30.4
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,Apr 23 - May 5,05/05/2020,37.9
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,Apr 23 - May 5,05/05/2020,39.8
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,Apr 23 - May 5,05/05/2020,42
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Apr 23 - May 5,05/05/2020,38.2
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,Apr 23 - May 5,05/05/2020,39.3
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,Apr 23 - May 5,05/05/2020,38.6
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,Apr 23 - May 5,05/05/2020,40.6
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,Apr 23 - May 5,05/05/2020,38.7
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,Apr 23 - May 5,05/05/2020,34.5
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,Apr 23 - May 5,05/05/2020,40.4
