Indicator,Group,State,Subgroup,Phase,Time Period Label,Value
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,18 - 29 years,"3,5","Jun 1 - Jun 13, 2022",36.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,30 - 39 years,"3,5","Jun 1 - Jun 13, 2022",32.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,40 - 49 years,"3,5","Jun 1 - Jun 13, 2022",36.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,50 - 59 years,"3,5","Jun 1 - Jun 13, 2022",38.2
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,60 - 69 years,"3,5","Jun 1 - Jun 13, 2022",34.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,70 - 79 years,"3,5","Jun 1 - Jun 13, 2022",31.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,80 years and above,"3,5","Jun 1 - Jun 13, 2022",23.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alabama,Alabama,"3,5","Jun 1 - Jun 13, 2022",44.2
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alaska,Alaska,"3,5","Jun 1 - Jun 13, 2022",54.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arizona,Arizona,"3,5","Jun 1 - Jun 13, 2022",40.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arkansas,Arkansas,"3,5","Jun 1 - Jun 13, 2022",39.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,California,California,"3,5","Jun 1 - Jun 13, 2022",31.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Colorado,Colorado,"3,5","Jun 1 - Jun 13, 2022",38.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Connecticut,Connecticut,"3,5","Jun 1 - Jun 13, 2022",29.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Delaware,Delaware,"3,5","Jun 1 - Jun 13, 2022",28.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,District of Columbia,District of Columbia,"3,5","Jun 1 - Jun 13, 2022",30.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Florida,Florida,"3,5","Jun 1 - Jun 13, 2022",32.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Georgia,Georgia,"3,5","Jun 1 - Jun 13, 2022",35.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Hawaii,Hawaii,"3,5","Jun 1 - Jun 13, 2022",23.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Idaho,Idaho,"3,5","Jun 1 - Jun 13, 2022",41.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Illinois,Illinois,"3,5","Jun 1 - Jun 13, 2022",34.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Indiana,Indiana,"3,5","Jun 1 - Jun 13, 2022",38.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Iowa,Iowa,"3,5","Jun 1 - Jun 13, 2022",30.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kansas,Kansas,"3,5","Jun 1 - Jun 13, 2022",44.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kentucky,Kentucky,"3,5","Jun 1 - Jun 13, 2022",45.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Louisiana,Louisiana,"3,5","Jun 1 - Jun 13, 2022",41.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maine,Maine,"3,5","Jun 1 - Jun 13, 2022",27.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maryland,Maryland,"3,5","Jun 1 - Jun 13, 2022",30.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Massachusetts,Massachusetts,"3,5","Jun 1 - Jun 13, 2022",27.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Michigan,Michigan,"3,5","Jun 1 - Jun 13, 2022",36.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Minnesota,Minnesota,"3,5","Jun 1 - Jun 13, 2022",31.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Mississippi,Mississippi,"3,5","Jun 1 - Jun 13, 2022",39.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Missouri,Missouri,"3,5","Jun 1 - Jun 13, 2022",36.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Montana,Montana,"3,5","Jun 1 - Jun 13, 2022",34.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Nebraska,Nebraska,"3,5","Jun 1 - Jun 13, 2022",31.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Nevada,Nevada,"3,5","Jun 1 - Jun 13, 2022",42.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New Hampshire,New Hampshire,"3,5","Jun 1 - Jun 13, 2022",30.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New Jersey,New Jersey,"3,5","Jun 1 - Jun 13, 2022",31.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New Mexico,New Mexico,"3,5","Jun 1 - Jun 13, 2022",46.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New York,New York,"3,5","Jun 1 - Jun 13, 2022",34.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,North Carolina,North Carolina,"3,5","Jun 1 - Jun 13, 2022",37.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,North Dakota,North Dakota,"3,5","Jun 1 - Jun 13, 2022",34.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Ohio,Ohio,"3,5","Jun 1 - Jun 13, 2022",38.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Oklahoma,Oklahoma,"3,5","Jun 1 - Jun 13, 2022",38.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Oregon,Oregon,"3,5","Jun 1 - Jun 13, 2022",35.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Pennsylvania,Pennsylvania,"3,5","Jun 1 - Jun 13, 2022",34.9
